p,propLabel,eff
http://www.wikidata.org/prop/direct/P509,cause of death,11
http://www.wikidata.org/prop/direct/P7902,Deutsche Biographie (GND) ID,11
http://www.wikidata.org/prop/direct/P269,IdRef ID,10
http://www.wikidata.org/prop/direct/P1296,Gran Enciclopèdia Catalana ID (former scheme),10
http://www.wikidata.org/prop/direct/P1971,number of children,10
http://www.wikidata.org/prop/direct/P3222,NE.se ID,10
http://www.wikidata.org/prop/direct/P3365,Treccani ID,10
http://www.wikidata.org/prop/direct/P6640,JRC Names ID,10
http://www.wikidata.org/prop/direct/P12385,Gran Enciclopèdia Catalana ID,10
http://www.wikidata.org/prop/direct/P1411,nominated for,9
http://www.wikidata.org/prop/direct/P2924,Great Russian Encyclopedia Online ID (old version),9
http://www.wikidata.org/prop/direct/P7305,Online PWN Encyclopedia ID,9
http://www.wikidata.org/prop/direct/P8309,Yle topic ID,9
http://www.wikidata.org/prop/direct/P9346,France 24 topic ID (French),9
http://www.wikidata.org/prop/direct/P97,noble title,8
http://www.wikidata.org/prop/direct/P172,ethnic group,8
http://www.wikidata.org/prop/direct/P463,member of,8
http://www.wikidata.org/prop/direct/P950,National Library of Spain SpMaBN ID (BNE v1.0),8
http://www.wikidata.org/prop/direct/P1006,Nationale Thesaurus voor Auteursnamen ID,8
http://www.wikidata.org/prop/direct/P1050,medical condition,8
http://www.wikidata.org/prop/direct/P1343,described by source,8
http://www.wikidata.org/prop/direct/P1695,NLP ID (old),8
http://www.wikidata.org/prop/direct/P2416,sports discipline competed in,8
http://www.wikidata.org/prop/direct/P2949,WikiTree person ID,8
http://www.wikidata.org/prop/direct/P5617,Evene ID,8
http://www.wikidata.org/prop/direct/P39,position held,7
http://www.wikidata.org/prop/direct/P1417,Encyclopædia Britannica Online ID,7
http://www.wikidata.org/prop/direct/P2031,work period (start),7
http://www.wikidata.org/prop/direct/P12086,WikiKids ID,7
http://www.wikidata.org/prop/direct/P140,religion or worldview,6
http://www.wikidata.org/prop/direct/P535,Find a Grave memorial ID,6
http://www.wikidata.org/prop/direct/P1196,manner of death,6
http://www.wikidata.org/prop/direct/P1207,NUKAT ID,6
http://www.wikidata.org/prop/direct/P1618,sport number,6
http://www.wikidata.org/prop/direct/P5361,BNB person ID,6
http://www.wikidata.org/prop/direct/P6758,supported sports team,6
http://www.wikidata.org/prop/direct/P8094,GeneaStar person ID,6
http://www.wikidata.org/prop/direct/P9984,CANTIC ID,6
http://www.wikidata.org/prop/direct/P10242,Lur Encyclopedic Dictionary ID,6
http://www.wikidata.org/prop/direct/P10632,OpenSanctions ID,6
http://www.wikidata.org/prop/direct/P11137,Reddit topic ID,6
http://www.wikidata.org/prop/direct/P11686,University of Barcelona authority ID,6
http://www.wikidata.org/prop/direct/P12153,FilmAffinity person ID,6
http://www.wikidata.org/prop/direct/P443,pronunciation audio,5
http://www.wikidata.org/prop/direct/P742,pseudonym,5
http://www.wikidata.org/prop/direct/P1019,web feed URL,5
http://www.wikidata.org/prop/direct/P1442,image of grave,5
http://www.wikidata.org/prop/direct/P1816,National Portrait Gallery (London) person ID,5
